INFO   | jvm 1    | 2013/12/28 14:03:46 | 103106198 2013-12-28 14:03:46,350 [CNMIEmulatorProcessor [modem1]] DEBUG org.smslib.threading.AServiceThread  - ** disabled **
INFO   | jvm 1    | 2013/12/28 14:03:46 | 103106198 [CNMIEmulatorProcessor [modem1]] DEBUG smslib  - ** disabled **
INFO   | jvm 1    | 2013/12/28 14:03:47 | 103107040 2013-12-28 14:03:47,192 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:47 | 103107040 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:52 | 103112040 2013-12-28 14:03:52,192 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:52 | 103112040 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:57 | 103117041 2013-12-28 14:03:57,193 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:57 | 103117041 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:59 | 103119791 2013-12-28 14:03:59,943 [WatchDog] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:03:59 | 103119791 [WatchDog] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:01 | 103121337 2013-12-28 14:04:01,489 [KeepAlive [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:01 | 103121337 [KeepAlive [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:02 | 103122041 2013-12-28 14:04:02,193 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:02 | 103122041 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:07 | 103127041 2013-12-28 14:04:07,193 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:07 | 103127041 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:12 | 103132042 2013-12-28 14:04:12,194 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:12 | 103132042 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:15 | 103134791 2013-12-28 14:04:14,943 [WatchDog] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:15 | 103134791 [WatchDog] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:16 | 103136199 2013-12-28 14:04:16,351 [CNMIEmulatorProcessor [modem1]] DEBUG org.smslib.threading.AServiceThread  - ** disabled **
INFO   | jvm 1    | 2013/12/28 14:04:16 | 103136199 [CNMIEmulatorProcessor [modem1]] DEBUG smslib  - ** disabled **
INFO   | jvm 1    | 2013/12/28 14:04:17 | 103137042 2013-12-28 14:04:17,194 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:17 | 103137042 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:22 | 103142042 2013-12-28 14:04:22,194 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:22 | 103142042 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:27 | 103147043 2013-12-28 14:04:27,195 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:27 | 103147043 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:30 | 103149792 2013-12-28 14:04:29,944 [WatchDog] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:30 | 103149792 [WatchDog] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:32 | 103152043 2013-12-28 14:04:32,195 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:32 | 103152043 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:37 | 103157043 2013-12-28 14:04:37,195 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:37 | 103157043 [QueueManager [modem1]] DEBUG smslib  - Running...
INFO   | jvm 1    | 2013/12/28 14:04:42 | 103162043 2013-12-28 14:04:42,195 [QueueManager [modem1]] DEBUG org.smslib.threading.AServiceThread  - Running...
